class,run,camcol,rerun,field,objid,u,g,r,i,z,ra,dec,specobjid,plate,mjd,fiberid,redshift
GALAXY,752,3,301,257,1237648704039616746,23.43256,20.34838,18.73522,18.02373,17.58149,181.970924694947,-0.367202202930635,4327966478000910336,3844,55321,26,0.4227769
GALAXY,1462,3,301,426,1237651753477472949,23.60477,21.82382,20.06749,18.92415,18.56335,189.215634404318,2.19778311756531,5352708296934092800,4754,55649,655,0.6685117
GALAXY,1907,3,301,92,1237653664716030767,24.06523,21.99166,19.96368,18.99043,18.3945,136.35537127556,1.462998358406,4298878626550181888,3818,55532,701,0.6122686
GALAXY,1402,2,301,95,1237651495220872028,25.83496,23.38056,21.8421,20.26939,19.69,120.314530014164,45.0271884510929,7180058424267960320,6377,56245,708,0.6534173
GALAXY,1350,4,301,221,1237651272964571778,25.49009,22.43889,20.43595,19.41157,19.00895,137.93360056617,58.9094972220126,6426638153461460992,5708,56605,5,0.5169199
STAR,1331,6,301,115,1237651192426988222,24.43332,21.446,20.83373,20.78143,20.64027,120.112808973696,43.9364801110878,4146885706600083456,3683,55178,714,-0.000136406
QSO,756,6,301,419,1237648722840715616,23.55909,21.57525,21.27858,21.50045,22.86446,178.512376295909,1.11935869229188,4327009352407511040,3843,55278,640,3.109404
STAR,756,6,301,229,1237648722828264017,22.53884,21.38859,21.13015,20.85613,20.6666,150.113667321285,1.10036717938572,4311219816045932544,3829,55300,542,0.0004201066
GALAXY,1462,3,301,316,1237651753470263786,23.22191,22.34272,20.61628,19.7061,19.18066,172.684084097279,2.18596036641904,5325527269665075200,4730,55630,75,0.5117511
QSO,1895,5,301,219,1237653614258487479,20.11202,19.46145,19.42064,19.32076,19.07917,138.874670331472,53.9312118506551,6450519820777222144,5729,56598,870,2.552721
GALAXY,1345,3,301,41,1237651250941068142,22.06704,19.8653,18.50533,17.82698,17.39197,115.829576580615,37.2813063366695,4128898527512948736,3667,55566,813,0.2251092
STAR,752,3,301,357,1237648704046170227,20.19304,18.83574,18.27995,18.0918,17.97449,196.966596972312,-0.306538436859947,8394836811872661504,7456,56727,462,0.000292284
QSO,1331,6,301,58,1237651192423253050,22.51056,20.79112,20.51207,20.51944,20.70147,114.082564447924,36.8212907946241,4128806437038780416,3667,55186,478,3.190554
GALAXY,756,4,301,229,1237648721754522783,26.80361,22.9848,20.81373,19.58103,19.063,150.142640925281,0.295463082186335,4311227512627326976,3829,55300,570,0.5199836
GALAXY,1458,5,301,475,1237651737374556541,25.64456,21.68767,19.93848,19.05547,18.60862,195.892413734333,3.18616773765895,4509455990517329920,4005,55325,825,0.4651697
GALAXY,1904,6,301,248,1237653653451965150,24.72673,23.58951,21.54992,20.23882,19.71026,15.114015814745,15.9787266162088,6423315422426886144,5705,56194,205,0.6585168
